exp,nearest_DFT_scaled_cm1,delta,label,matched,match_within_2,match_within_3,match_within_5,match_within_10,match_within_15,match_within_18,rel_intensity,confidence,quality,raman_activity,dft_assignment
1128.0,1124.6265,-3.373499999999922,1124.6265,True,False,False,True,True,True,True,0.613,1.0,high,2.7463,ν(C–O) + δ(C–O–H)
1157.0,1156.2142,-0.7858000000001084,1156.2142,True,True,True,True,True,True,True,0.4003,1.0,high,3.271,ν(C–O) + δ(C–O–H)
1190.0,1192.1274,2.1274000000000797,1192.1274,True,False,True,True,True,True,True,0.1685,0.975,high,2.9903,ν(C–O) + δ(C–O–H)
1208.0,1208.22,0.22000000000002728,1208.22,True,True,True,True,True,True,True,0.0833,0.875,tentative,2.1252,δ(C–H) + ν(C–O) coupled
1249.0,1242.2736,-6.726400000000012,1242.2736,True,False,False,False,True,True,True,0.3244,1.0,high,3.8466,δ(C–H) + ν(C–O) coupled
1300.0,1306.2071,6.207100000000082,1306.2071,True,False,False,False,True,True,True,0.1996,0.975,tentative,1.3069,δ(C–H) + ν(C–O) coupled
1321.0,1324.8202,3.8202000000001135,1324.8202,True,False,False,True,True,True,True,0.4765,1.0,high,0.7146,δ(C–H) + ν(C–O) coupled
1346.0,1345.6873,-0.3126999999999498,1345.6873,True,True,True,True,True,True,True,0.4865,1.0,high,5.3597,δ(C–H) / δs(CH₃) umbrella
1395.0,1387.6065,-7.393499999999904,1387.6065,True,False,False,False,True,True,True,0.4661,0.975,high,7.7676,δ(C–H) / δs(CH₃) umbrella
1451.0,1443.9352,-7.064800000000105,1443.9352,True,False,False,False,True,True,True,0.4932,1.0,high,5.2297,δ(CH₂) scissoring / δas(CH₃)
1544.0,1535.2416,-8.758399999999938,1535.2416,True,False,False,False,True,True,True,0.0977,0.775,high,2.1544,Amide II: δ(N–H) + ν(C–N)
1590.0,1535.2416,-54.75839999999994,1535.2416,True,False,False,False,False,False,False,0.2818,1.0,high,2.1544,Amide II: δ(N–H) + ν(C–N)
1633.0,1722.8223,89.82230000000004,1722.8223,True,False,False,False,False,False,False,0.0786,0.95,tentative,12.8047,Amide I: ν(C=O)
1652.0,1722.8223,70.82230000000004,1722.8223,True,False,False,False,False,False,False,0.0704,0.85,tentative,12.8047,Amide I: ν(C=O)
1700.0,1722.8223,22.82230000000004,1722.8223,True,False,False,False,False,False,False,0.172,0.9,high,12.8047,Amide I: ν(C=O)
1726.0,1722.8223,-3.177699999999959,1722.8223,True,False,False,True,True,True,True,0.0803,0.925,tentative,12.8047,Amide I: ν(C=O)
1751.0,1759.2355,8.235500000000002,1759.2355,True,False,False,False,True,True,True,0.0733,0.85,tentative,10.169,ν(C=O) carboxylic acid
1758.0,1759.2355,1.2355000000000018,1759.2355,True,True,True,True,True,True,True,0.0724,0.675,tentative,10.169,ν(C=O) carboxylic acid
1768.0,1759.2355,-8.764499999999998,1759.2355,True,False,False,False,True,True,True,0.0777,0.85,high,10.169,ν(C=O) carboxylic acid
1792.0,1759.2355,-32.7645,1759.2355,True,False,False,False,False,False,False,0.0647,0.95,tentative,10.169,ν(C=O) carboxylic acid
